blknum,value
23936,{2016-12-23 16:08:50.578+00 .. 2016-12-27 06:42:31.809+00}
24064,{2016-12-27 06:42:31.76+00 .. 2016-12-27 06:42:37.88+00}
24192,{2016-12-27 06:42:37.586+00 .. 2016-12-27 07:07:48.54+00}
24320,{2016-12-27 07:07:39.842+00 .. 2016-12-27 08:43:01.32+00}
24448,{2016-12-27 08:43:00.755+00 .. 2016-12-27 08:43:21.717+00}
24576,{2016-12-27 08:43:18.865+00 .. 2016-12-27 08:43:22.147+00}
24704,{2016-12-27 08:43:20.114+00 .. 2016-12-27 08:43:22.774+00}
24832,{2016-12-27 08:43:21.063+00 .. 2016-12-27 08:48:56.67+00}
24960,{2016-12-27 08:48:56.342+00 .. 2016-12-27 08:56:29.265+00}
25088,{2016-12-27 08:56:28.954+00 .. 2016-12-27 08:56:43.131+00}
25216,{2016-12-27 08:56:42.819+00 .. 2016-12-27 08:59:17.564+00}
25344,{2016-12-27 08:59:17.274+00 .. 2016-12-27 09:01:52.159+00}
25472,{2016-12-27 09:01:51.975+00 .. 2016-12-27 09:13:45.314+00}
25600,{2016-12-27 09:13:45.115+00 .. 2016-12-27 10:07:31.405+00}
25728,{2016-12-27 10:07:31.404+00 .. 2016-12-27 10:53:34.826+00}
25856,{2016-12-27 10:53:34.587+00 .. 2016-12-27 11:13:11.503+00}
25984,{2016-12-27 11:13:11.174+00 .. 2016-12-27 13:01:07.194+00}
26112,{2016-12-27 13:01:06.824+00 .. 2016-12-27 13:01:09.217+00}
26240,{2016-12-27 13:01:08.796+00 .. 2016-12-27 13:17:01.277+00}
26368,{2016-12-27 13:17:00.953+00 .. 2016-12-27 16:34:10.339+00}
26496,{2016-12-27 16:34:10.338+00 .. 2016-12-28 06:18:37.158+00}
26624,{2016-12-28 06:18:37.023+00 .. 2016-12-28 06:18:39.086+00}
26752,{2016-12-28 06:18:38.674+00 .. 2016-12-28 06:23:26.537+00}
26880,{2016-12-28 06:23:26.205+00 .. 2016-12-28 10:58:15.921+00}
27008,{2016-12-28 10:58:15.577+00 .. 2016-12-29 23:16:44.083+00}
27136,{2016-12-28 10:59:01.455+00 .. 2016-12-30 20:42:38.444+00}
27264,{2016-12-28 11:01:51.782+00 .. 2016-12-31 10:19:42.316+00}
27392,{2016-12-28 11:05:12.413+00 .. 2017-01-03 15:57:28.864+00}
27520,{2016-12-28 11:28:50.213+00 .. 2017-01-03 18:03:17.627+00}
27648,{2016-12-28 11:30:03.761+00 .. 2017-01-04 07:10:29.587+00}
27776,{2016-12-28 11:30:03.764+00 .. 2017-01-04 17:31:03.74+00}
27904,{2016-12-28 11:39:28.978+00 .. 2017-01-04 19:09:12.639+00}
28032,{2016-12-28 11:40:17.95+00 .. 2017-01-05 10:46:26.811+00}
28160,{2016-12-28 11:40:37.166+00 .. 2017-01-05 15:51:44.145+00}
28288,{2016-12-28 11:40:38.888+00 .. 2017-01-05 16:40:30.49+00}
28416,{2016-12-28 11:41:17.069+00 .. 2017-01-05 17:31:18.948+00}
28544,{2016-12-28 11:41:26.34+00 .. 2017-01-05 19:13:51.627+00}
28672,{2016-12-28 11:58:17.139+00 .. 2017-01-05 20:29:21.646+00}
28800,{2016-12-28 12:23:16.427+00 .. 2017-01-05 21:06:31.873+00}
28928,{2016-12-28 12:23:27.096+00 .. 2017-01-05 22:49:52.415+00}
29056,{2016-12-28 12:23:34.231+00 .. 2017-01-05 23:36:32.98+00}
29184,{2016-12-28 14:23:36.938+00 .. 2017-01-06 00:19:45.155+00}
29312,{2016-12-28 18:34:39.375+00 .. 2017-01-06 00:58:57.428+00}
29440,{2016-12-29 05:48:50.496+00 .. 2017-01-06 05:16:57.041+00}
29568,{2016-12-29 05:48:51.826+00 .. 2017-01-06 09:30:51.05+00}
29696,{2016-12-29 06:31:01.333+00 .. 2017-01-06 14:17:36.484+00}
29824,{2016-12-29 11:03:40.237+00 .. 2017-01-06 15:43:11.89+00}
29952,{2016-12-29 12:28:43.165+00 .. 2017-01-06 16:43:11.186+00}
30080,{2016-12-29 15:22:42.14+00 .. 2017-01-09 09:30:41.593+00}
30208,{2016-12-30 07:46:54.383+00 .. 2017-01-09 16:18:26.362+00}
30336,{2016-12-30 08:21:36.693+00 .. 2017-01-12 16:01:16.176+00}
30464,{2017-01-12 16:01:30.273+00 .. 2017-01-25 06:15:21.604+00}
30592,{2017-01-25 06:15:21.615+00 .. 2017-01-30 17:06:38.747+00}
30720,{2017-01-30 17:06:38.796+00 .. 2017-02-02 15:58:03.453+00}
30848,{2017-02-02 15:58:03.47+00 .. 2017-02-06 06:09:18.416+00}
30976,{2017-02-06 06:09:18.519+00 .. 2017-02-08 21:26:17.915+00}
31104,{2017-02-08 20:54:00.005+00 .. 2017-02-14 06:30:24.123+00}
31232,{2017-02-14 06:30:24.151+00 .. 2017-02-15 16:43:19.445+00}
31360,{2017-02-15 16:43:19.461+00 .. 2017-02-23 12:41:37.29+00}
31488,{2017-02-23 12:41:37.299+00 .. 2017-04-19 14:42:30.175+00}
31616,{2017-04-19 14:44:36.126+00 .. 2017-05-15 11:09:42.514+00}
31744,{2017-05-15 11:09:42.536+00 .. 2017-06-12 03:55:44.783+00}
31872,{2017-06-12 03:55:46.368+00 .. 2017-06-26 18:49:57.674+00}
32000,{2017-06-26 18:51:09.108+00 .. 2017-07-03 18:24:16.604+00}
32128,{2017-07-03 18:24:18.526+00 .. 2017-07-10 13:35:57.009+00}
32256,{2017-07-10 13:35:58.686+00 .. 2017-07-12 17:28:43.222+00}
32384,{2017-07-12 17:28:43.238+00 .. 2017-07-24 14:14:48.045+00}
32512,{2017-07-24 14:15:02.299+00 .. 2017-07-31 19:39:19.498+00}
32640,{2017-07-31 19:39:19.512+00 .. 2017-08-04 19:03:04.755+00}
32768,{2017-08-04 19:03:05.885+00 .. 2017-08-09 16:38:48.564+00}
32896,{2017-08-09 16:38:49.063+00 .. 2017-08-10 18:46:23.264+00}
33024,{2017-08-10 18:46:23.281+00 .. 2017-08-14 21:37:34.925+00}
33152,{2017-08-14 21:37:34.949+00 .. 2017-08-16 18:52:46.431+00}
33280,{2017-08-16 18:52:46.47+00 .. 2017-08-21 18:44:09.453+00}
33408,{2017-08-21 18:44:09.502+00 .. 2017-08-23 20:21:46.655+00}
33536,{2017-08-23 20:21:56.078+00 .. 2017-09-03 02:03:14.266+00}
33664,{2017-09-03 02:03:14.668+00 .. 2017-10-18 16:14:00.64+00}
33792,{2017-10-18 16:14:00.658+00 .. 2018-01-22 07:21:17.502+00}
33920,{2018-01-22 07:21:17.184+00 .. 2018-01-22 07:28:02.067+00}
34048,{2018-01-22 07:28:02.064+00 .. 2018-01-22 07:30:27.085+00}
34176,{2018-01-22 07:30:26.772+00 .. 2018-01-22 07:33:52.867+00}
34304,{2018-01-22 07:33:52.537+00 .. 2018-01-22 07:39:43.669+00}
34432,{2018-01-22 07:39:43.381+00 .. 2018-01-22 09:24:36.065+00}
34560,{2018-01-22 09:24:35.82+00 .. 2018-01-22 09:42:46.042+00}
34688,{2018-01-22 09:42:45.735+00 .. 2018-01-22 10:07:50.955+00}
34816,{2018-01-22 10:07:50.731+00 .. 2018-01-22 10:20:26.88+00}
34944,{2018-01-22 10:20:26.639+00 .. 2018-01-22 11:15:18.727+00}
35072,{2018-01-22 11:15:18.495+00 .. 2018-01-22 11:35:43.051+00}
35200,{2018-01-22 11:35:43.332+00 .. 2018-01-22 11:45:47.627+00}
35328,{2018-01-22 11:45:10.739+00 .. 2018-01-22 12:15:37.503+00}
35456,{2018-01-22 12:14:57.464+00 .. 2018-01-22 12:21:07.947+00}
35584,{2018-01-22 12:20:20.036+00 .. 2018-01-22 12:44:07.132+00}
35712,{2018-01-22 12:43:20.308+00 .. 2018-01-22 13:03:34.82+00}
35840,{2018-01-22 13:03:07.13+00 .. 2018-01-22 13:11:32.032+00}
35968,{2018-01-22 13:10:47.746+00 .. 2018-01-22 13:21:24.976+00}
36096,{2018-01-22 13:21:24.72+00 .. 2018-01-22 13:27:52.187+00}
36224,{2018-01-22 13:27:15.924+00 .. 2018-01-25 09:36:38.551+00}
36352,{2018-01-25 09:35:55.962+00 .. 2018-01-25 09:38:50.873+00}
36480,{2018-01-25 09:38:23.416+00 .. 2018-01-25 09:41:44.235+00}
36608,{2018-01-25 09:41:08.707+00 .. 2019-02-27 00:58:43.295+00}
36736,{2018-01-25 11:51:21.348+00 .. 2019-03-01 21:29:35.299+00}
36864,{2018-01-25 11:53:13.836+00 .. 2019-03-01 21:31:27.586+00}
36992,{2018-01-25 11:55:14.414+00 .. 2019-03-01 21:29:19.164+00}
37120,{2018-01-25 11:57:18.725+00 .. 2019-03-01 21:31:29.589+00}
37248,{2018-01-25 12:44:20.296+00 .. 2019-03-01 21:46:16.779+00}
37376,{2018-01-25 12:46:11.868+00 .. 2019-03-01 21:48:23.322+00}
37504,{2018-03-22 13:24:49.862+00 .. 2019-03-01 21:48:23.349+00}
37632,{2018-05-04 21:35:30.472+00 .. 2018-05-21 14:47:19.159+00}
37760,{2018-05-21 14:47:19.156+00 .. 2018-06-07 19:51:54.025+00}
37888,{2018-06-07 19:51:52.45+00 .. 2018-06-28 19:23:39.115+00}
38016,{2018-06-28 19:23:39.114+00 .. 2018-07-20 19:49:10.798+00}
38144,{2018-07-20 19:49:10.835+00 .. 2018-08-02 17:25:45.425+00}
38272,{2018-08-02 17:26:12.895+00 .. 2018-08-07 19:03:00.182+00}
38400,{2018-08-07 19:03:00.216+00 .. 2018-08-10 18:28:15.114+00}
38528,{2018-08-10 18:28:15.124+00 .. 2018-08-20 19:56:49.618+00}
38656,{2018-08-20 19:56:49.62+00 .. 2018-09-07 03:51:34.807+00}
38784,{2018-09-07 03:51:35.014+00 .. 2018-09-27 18:39:34.006+00}
38912,{2018-09-27 18:39:34.007+00 .. 2018-10-25 17:23:02.896+00}
39040,{2018-10-25 17:23:02.891+00 .. 2019-03-03 23:00:49.901+00}
39168,{2019-03-03 23:00:32.39+00 .. 2019-03-26 19:42:32.246+00}
39296,{2019-03-26 19:42:04.846+00 .. 2019-03-26 20:07:39.256+00}
39424,{2019-03-26 20:07:26.074+00 .. 2019-03-26 20:11:38.044+00}
39552,{2019-03-26 20:07:26.058+00 .. 2019-03-26 20:17:52.115+00}
39680,{2019-03-26 20:12:00.427+00 .. 2019-03-26 20:19:06.241+00}
39808,{2019-03-26 20:18:56.115+00 .. 2019-03-26 20:22:00.872+00}
39936,{2019-03-26 20:21:46.83+00 .. 2019-03-26 20:24:26.929+00}
40064,{2019-03-26 20:24:10.535+00 .. 2019-03-26 20:31:47.009+00}
40192,{2019-03-26 20:26:26.212+00 .. 2019-03-26 20:39:53.543+00}
40320,{2019-03-26 20:32:04.25+00 .. 2019-03-26 20:41:23.3+00}
40448,{2019-03-26 20:39:53.733+00 .. 2019-03-26 20:42:03.597+00}
40576,{2019-03-26 20:41:55.777+00 .. 2019-03-26 20:43:48.774+00}
40704,{2019-03-26 20:43:33.379+00 .. 2019-03-26 20:44:48.285+00}
40832,{2019-03-26 20:44:30.065+00 .. 2019-03-26 20:51:31.357+00}
40960,{2019-03-26 20:51:15.481+00 .. 2019-03-26 20:52:32.831+00}
41088,{2019-03-26 20:52:11.685+00 .. 2019-03-26 20:53:35.242+00}
41216,{2019-03-26 20:53:09.631+00 .. 2019-03-26 20:56:06.917+00}
41344,{2019-03-26 20:53:09.749+00 .. 2019-03-26 20:56:49.539+00}
41472,{2019-03-26 20:56:37.047+00 .. 2019-03-26 20:57:51.608+00}
41600,{2019-03-26 20:57:35.332+00 .. 2019-03-27 13:50:28.832+00}
41728,{2019-03-27 13:50:21.853+00 .. 2019-12-17 21:04:52.137+00}
41856,{2019-03-28 19:54:07.508+00 .. 2019-03-28 19:58:52.027+00}
41984,{2019-03-28 19:58:35.207+00 .. 2019-03-28 20:00:49.524+00}
42112,{2019-03-28 20:00:36.339+00 .. 2019-03-28 20:03:05.123+00}
42240,{2019-03-28 20:02:59.38+00 .. 2019-03-28 20:05:03.578+00}
42368,{2019-03-28 20:04:45.333+00 .. 2019-12-17 21:04:52.77+00}
42496,{2019-04-08 15:08:42.431+00 .. 2019-12-17 21:04:53.389+00}
