blknum,value
47488,{2019-07-30 15:18:11.387+00 .. 2019-08-03 12:20:28.257+00}
47616,{2019-08-03 12:30:31.177+00 .. 2019-12-17 22:22:00.397+00}
47744,{2019-08-05 12:00:18.769+00 .. 2019-12-17 22:22:02.053+00}
47872,{2019-08-08 12:19:49.103+00 .. 2019-08-09 14:00:35.772+00}
48000,{2019-08-09 14:00:20.293+00 .. 2019-12-17 22:22:03.423+00}
48128,{2019-08-11 00:30:39.035+00 .. 2019-08-12 12:25:43.53+00}
48256,{2019-08-12 12:25:41.444+00 .. 2019-12-17 22:28:17.075+00}
48384,{2019-08-13 12:22:40.138+00 .. 2019-12-17 22:33:53.877+00}
48512,{2019-08-14 17:20:39.249+00 .. 2019-08-14 23:58:35.014+00}
48640,{2019-08-14 23:58:22.88+00 .. 2019-08-15 00:07:04.555+00}
48768,{2019-08-15 00:06:40.672+00 .. 2019-08-15 00:16:12.668+00}
48896,{2019-08-15 00:15:55.035+00 .. 2019-08-15 00:25:10.361+00}
49024,{2019-08-15 00:24:52.271+00 .. 2019-08-15 00:34:28.434+00}
49152,{2019-08-15 00:34:05.451+00 .. 2019-08-15 00:43:07.672+00}
49280,{2019-08-15 00:42:50.418+00 .. 2019-08-15 19:37:32.54+00}
49408,{2019-08-15 13:10:28.399+00 .. 2019-12-17 22:33:56.527+00}
49536,{2019-08-15 22:27:03.229+00 .. 2019-08-15 22:35:55.821+00}
49664,{2019-08-15 22:35:42.841+00 .. 2019-08-15 22:44:19.604+00}
49792,{2019-08-15 22:44:09.23+00 .. 2019-08-15 22:53:57.499+00}
49920,{2019-08-15 22:53:35.752+00 .. 2019-12-17 22:33:57.105+00}
50048,{2019-08-15 23:01:12.891+00 .. 2019-08-15 23:10:54.301+00}
50176,{2019-08-15 23:10:12.357+00 .. 2019-08-15 23:19:45.637+00}
50304,{2019-08-15 23:18:55.227+00 .. 2019-12-17 22:33:58.2+00}
50432,{2019-08-16 10:02:18.603+00 .. 2019-12-17 22:34:00.808+00}
50560,{2019-08-18 02:10:54.61+00 .. 2019-12-17 22:34:31.106+00}
50688,{2019-08-19 14:32:53.777+00 .. 2019-12-17 22:34:32.346+00}
50816,{2019-08-20 10:05:20.8+00 .. 2019-12-17 22:34:33.763+00}
50944,{2019-08-20 21:53:17.225+00 .. 2019-12-17 22:47:46.86+00}
51072,{2019-08-21 14:33:06.304+00 .. 2019-12-17 22:47:53.246+00}
51200,{2019-08-21 22:43:57.219+00 .. 2019-08-21 22:54:52.403+00}
51328,{2019-08-21 22:54:31.657+00 .. 2019-08-21 23:02:10.478+00}
51456,{2019-08-21 23:01:56.749+00 .. 2019-12-17 22:47:53.927+00}
51584,{2019-08-22 11:50:28.718+00 .. 2019-08-22 14:08:45.238+00}
51712,{2019-08-22 14:08:39.851+00 .. 2019-08-22 14:17:51.496+00}
51840,{2019-08-22 14:17:24.114+00 .. 2019-08-22 14:27:58.553+00}
51968,{2019-08-22 14:27:43.198+00 .. 2019-12-17 22:47:54.26+00}
52096,{2019-08-22 14:37:03.859+00 .. 2019-12-17 22:47:54.596+00}
52224,{2019-08-22 14:46:40.296+00 .. 2019-08-22 14:57:06.7+00}
52352,{2019-08-22 14:56:23.341+00 .. 2019-12-17 22:58:58.331+00}
52480,{2019-08-22 19:01:37.054+00 .. 2019-12-17 22:59:04.055+00}
52608,{2019-08-23 15:58:22.618+00 .. 2019-12-17 22:59:59.74+00}
52736,{2019-08-25 15:34:27.413+00 .. 2019-12-17 23:00:01.493+00}
52864,{2019-08-26 17:59:31.501+00 .. 2019-12-17 23:02:23.605+00}
52992,{2019-08-26 19:20:56.228+00 .. 2019-08-26 19:34:29.297+00}
53120,{2019-08-26 19:33:42.313+00 .. 2019-08-26 19:47:27.874+00}
53248,{2019-08-26 19:47:12.527+00 .. 2019-08-26 20:58:50.703+00}
53376,{2019-08-26 20:00:27.203+00 .. 2019-12-17 23:07:18.078+00}
53504,{2019-08-27 14:47:30.174+00 .. 2019-12-17 23:07:24.416+00}
53632,{2019-08-28 21:17:49.066+00 .. 2019-08-28 21:42:26.302+00}
53760,{2019-08-28 21:42:18.583+00 .. 2019-08-28 22:35:58.152+00}
53888,{2019-08-28 22:35:50.446+00 .. 2019-12-17 23:14:52.913+00}
54016,{2019-08-30 01:19:22.546+00 .. 2019-08-30 15:52:45.517+00}
54144,{2019-08-30 15:52:40.271+00 .. 2019-12-17 23:14:53.862+00}
54272,{2019-08-31 15:44:51.614+00 .. 2019-12-17 23:16:58.344+00}
54400,{2019-09-02 17:18:04.351+00 .. 2019-12-17 23:17:50.394+00}
54528,{2019-09-03 15:38:04.337+00 .. 2019-12-17 23:18:11.342+00}
54656,{2019-09-04 15:37:20.916+00 .. 2019-12-17 23:21:30.391+00}
54784,{2019-09-06 04:19:19.98+00 .. 2019-12-17 23:21:31.687+00}
54912,{2019-09-07 15:37:21.921+00 .. 2019-12-17 23:22:34.186+00}
55040,{2019-09-08 15:40:00.823+00 .. 2019-12-17 23:22:37.971+00}
55168,{2019-09-09 22:17:41.828+00 .. 2019-09-09 23:28:02.338+00}
55296,{2019-09-09 23:27:29.875+00 .. 2019-09-10 00:11:09.798+00}
55424,{2019-09-10 00:10:35.623+00 .. 2019-09-10 00:50:21.188+00}
55552,{2019-09-10 00:49:56.679+00 .. 2019-12-17 23:27:07.102+00}
55680,{2019-09-10 14:07:31.421+00 .. 2019-12-17 23:27:08.074+00}
55808,{2019-09-11 15:42:22.696+00 .. 2019-12-17 23:27:08.966+00}
55936,{2019-09-12 15:31:07.704+00 .. 2019-12-17 23:27:09.586+00}
56064,{2019-09-13 15:36:22.77+00 .. 2019-12-17 23:27:10.14+00}
56192,{2019-09-14 00:45:38.502+00 .. 2019-12-17 23:27:10.752+00}
56320,{2019-09-15 15:38:28.406+00 .. 2019-12-17 23:27:14.567+00}
56448,{2019-09-16 21:22:20.345+00 .. 2019-09-16 23:00:26.952+00}
56576,{2019-09-16 23:00:16.426+00 .. 2019-09-16 23:43:27.598+00}
56704,{2019-09-16 23:42:47.144+00 .. 2019-09-17 00:20:29.118+00}
56832,{2019-09-17 00:19:47.912+00 .. 2019-12-17 23:27:14.931+00}
56960,{2019-09-17 18:18:23.622+00 .. 2019-12-18 19:57:52.147+00}
57088,{2019-09-17 22:59:57.492+00 .. 2019-09-17 23:55:22.392+00}
57216,{2019-09-17 23:54:52.603+00 .. 2019-09-18 01:28:23.339+00}
57344,{2019-09-18 01:27:30.378+00 .. 2019-12-18 19:57:52.622+00}
57472,{2019-09-18 02:47:34.662+00 .. 2019-09-18 03:37:00.323+00}
57600,{2019-09-18 03:36:12.856+00 .. 2019-09-18 21:02:04.371+00}
57728,{2019-09-18 16:56:42.634+00 .. 2019-09-18 23:56:18.175+00}
57856,{2019-09-18 23:55:21.962+00 .. 2019-12-18 19:58:25.868+00}
57984,{2019-09-19 01:03:11.495+00 .. 2019-09-19 01:26:05.033+00}
58112,{2019-09-19 01:25:23.683+00 .. 2019-09-19 01:52:22.387+00}
58240,{2019-09-19 01:52:05.5+00 .. 2019-09-19 02:07:37.519+00}
58368,{2019-09-19 02:07:01.519+00 .. 2019-09-19 02:48:26.848+00}
58496,{2019-09-19 02:47:52.042+00 .. 2019-09-19 03:33:59.733+00}
58624,{2019-09-19 03:33:52.973+00 .. 2019-09-19 03:53:34.112+00}
58752,{2019-09-19 03:53:06.564+00 .. 2019-09-19 04:17:38.54+00}
58880,{2019-09-19 04:17:02.374+00 .. 2019-12-18 19:58:27.739+00}
59008,{2019-09-19 22:25:11.881+00 .. 2019-09-19 22:53:29.717+00}
59136,{2019-09-19 22:53:12.111+00 .. 2019-09-19 23:17:14.173+00}
59264,{2019-09-19 23:17:01.956+00 .. 2019-09-19 23:46:19.7+00}
59392,{2019-09-19 23:45:51.732+00 .. 2019-09-20 00:02:59.963+00}
59520,{2019-09-20 00:02:59.54+00 .. 2019-12-18 20:00:05.014+00}
59648,{2019-09-20 22:44:27.178+00 .. 2019-12-18 20:16:48.688+00}
59776,{2019-09-21 22:07:29.81+00 .. 2019-12-18 20:16:54.266+00}
59904,{2019-09-23 01:06:24.7+00 .. 2019-09-23 01:55:16.183+00}
60032,{2019-09-23 01:54:45.516+00 .. 2019-09-23 02:13:35.454+00}
60160,{2019-09-23 02:13:12.724+00 .. 2019-09-23 17:22:57.273+00}
60288,{2019-09-23 17:22:57.298+00 .. 2019-09-24 17:21:34.363+00}
60416,{2019-09-24 17:21:19.244+00 .. 2019-09-26 14:34:50.573+00}
60544,{2019-09-26 14:19:15.87+00 .. 2019-10-01 06:20:05.041+00}
60672,{2019-10-01 06:19:56.418+00 .. 2019-10-02 18:12:47.424+00}
60800,{2019-10-02 18:12:21.83+00 .. 2019-12-17 23:27:16.237+00}
60928,{2019-10-04 18:49:14.624+00 .. 2019-12-18 19:57:19.685+00}
61056,{2019-10-08 17:14:17.178+00 .. 2019-10-15 04:09:34.735+00}
61184,{2019-10-15 04:09:34.77+00 .. 2019-10-16 07:04:43.816+00}
61312,{2019-10-16 07:04:43.81+00 .. 2019-10-16 21:35:55.426+00}
61440,{2019-10-16 14:43:20.426+00 .. 2019-10-18 07:05:38.823+00}
61568,{2019-10-18 07:05:38.838+00 .. 2019-10-19 21:59:48.187+00}
61696,{2019-10-19 21:59:40.824+00 .. 2019-10-20 09:59:11.774+00}
61824,{2019-10-20 09:58:58.08+00 .. 2019-10-21 09:51:10.146+00}
61952,{2019-10-21 09:50:49.854+00 .. 2019-10-21 22:31:16.541+00}
62080,{2019-10-21 19:55:10.844+00 .. 2019-10-23 03:58:32.094+00}
62208,{2019-10-23 03:58:31.746+00 .. 2019-10-24 10:06:52.15+00}
62336,{2019-10-24 04:39:00.916+00 .. 2019-10-25 00:48:38.92+00}
62464,{2019-10-25 00:38:02.566+00 .. 2019-10-25 09:58:45.247+00}
62592,{2019-10-25 09:58:44.216+00 .. 2019-10-26 00:56:07.019+00}
62720,{2019-10-26 00:55:59.034+00 .. 2019-10-26 10:03:03.938+00}
62848,{2019-10-26 09:46:20.819+00 .. 2019-10-27 06:26:22.882+00}
62976,{2019-10-27 06:26:21.976+00 .. 2019-10-27 22:28:38.076+00}
63104,{2019-10-27 22:28:38.487+00 .. 2019-10-28 10:04:06.143+00}
63232,{2019-10-28 10:04:04.443+00 .. 2019-10-29 00:55:11.624+00}
63360,{2019-10-29 00:55:19.429+00 .. 2019-10-29 12:17:05.398+00}
63488,{2019-10-29 12:17:05.408+00 .. 2019-10-30 09:38:27.873+00}
63616,{2019-10-30 06:02:04.606+00 .. 2019-10-30 21:59:57.783+00}
63744,{2019-10-30 21:59:44.909+00 .. 2019-10-31 09:59:02.016+00}
63872,{2019-10-31 09:58:55.004+00 .. 2019-10-31 22:50:43.486+00}
64000,{2019-10-31 22:50:33.462+00 .. 2019-11-01 09:58:04.744+00}
64128,{2019-11-01 09:57:53.532+00 .. 2019-11-02 15:55:52.386+00}
64256,{2019-11-02 15:55:52.341+00 .. 2019-11-02 23:00:36.687+00}
64384,{2019-11-02 23:00:36.628+00 .. 2019-11-13 08:18:07.524+00}
64512,{2019-11-13 08:18:03.181+00 .. 2019-11-14 10:48:50.954+00}
64640,{2019-11-14 10:48:50.979+00 .. 2019-11-14 22:00:03.655+00}
64768,{2019-11-14 21:59:15.258+00 .. 2019-11-15 06:49:10.854+00}
64896,{2019-11-15 06:49:10.796+00 .. 2019-11-15 07:12:38.612+00}
65024,{2019-11-15 07:11:30.926+00 .. 2019-11-15 07:13:21.136+00}
65152,{2019-11-15 07:13:02.966+00 .. 2019-11-15 07:14:59.342+00}
65280,{2019-11-15 07:14:04.568+00 .. 2019-11-15 07:15:32.728+00}
65408,{2019-11-15 07:15:12.439+00 .. 2019-11-15 07:16:58.279+00}
65536,{2019-11-15 07:16:28.823+00 .. 2019-11-15 07:18:05.674+00}
65664,{2019-11-15 07:17:34.281+00 .. 2019-11-15 07:19:14.943+00}
65792,{2019-11-15 07:18:46.286+00 .. 2019-11-15 07:29:57.325+00}
65920,{2019-11-15 07:29:41.726+00 .. 2019-11-15 07:31:05.347+00}
66048,{2019-11-15 07:30:49.584+00 .. 2019-11-15 07:32:09.605+00}
66176,{2019-11-15 07:31:54.832+00 .. 2019-11-15 07:33:08.801+00}
66304,{2019-11-15 07:32:50.268+00 .. 2019-11-15 08:31:33.988+00}
66432,{2019-11-15 07:34:50.274+00 .. 2019-11-15 15:31:01.192+00}
66560,{2019-11-15 15:10:24.719+00 .. 2019-11-15 22:26:50.006+00}
66688,{2019-11-15 22:26:49.157+00 .. 2019-11-16 06:28:03.713+00}
66816,{2019-11-16 06:27:13.056+00 .. 2019-11-16 06:29:56.634+00}
66944,{2019-11-16 06:28:52.365+00 .. 2019-11-16 06:30:30.012+00}
67072,{2019-11-16 06:30:12.066+00 .. 2019-11-16 06:31:38.265+00}
67200,{2019-11-16 06:31:15.759+00 .. 2019-11-16 06:32:47.419+00}
67328,{2019-11-16 06:32:28.1+00 .. 2019-11-16 06:33:58.597+00}
67456,{2019-11-16 06:33:41.158+00 .. 2019-11-16 06:34:59.194+00}
67584,{2019-11-16 06:34:50.965+00 .. 2019-11-16 06:36:03.67+00}
67712,{2019-11-16 06:35:48.304+00 .. 2019-11-16 06:37:02.551+00}
67840,{2019-11-16 06:36:46.806+00 .. 2019-11-16 06:38:04.375+00}
67968,{2019-11-16 06:37:47.257+00 .. 2019-11-16 06:39:29.146+00}
68096,{2019-11-16 06:39:05.146+00 .. 2019-11-16 06:41:39.309+00}
68224,{2019-11-16 06:41:30.158+00 .. 2019-11-16 21:59:31.553+00}
68352,{2019-11-16 21:59:09.64+00 .. 2019-11-17 06:58:42.008+00}
68480,{2019-11-17 06:58:18.29+00 .. 2019-11-17 07:00:28.14+00}
68608,{2019-11-17 06:59:43.074+00 .. 2019-11-17 07:01:49.336+00}
68736,{2019-11-17 07:00:57.469+00 .. 2019-11-17 07:02:56.298+00}
68864,{2019-11-17 07:02:23.915+00 .. 2019-11-17 07:03:49.499+00}
68992,{2019-11-17 07:03:27.515+00 .. 2019-11-17 07:04:51.136+00}
69120,{2019-11-17 07:04:30.799+00 .. 2019-11-17 07:05:48.405+00}
69248,{2019-11-17 07:05:33.738+00 .. 2019-11-17 07:06:55.45+00}
69376,{2019-11-17 07:06:31.612+00 .. 2019-11-17 07:08:00.525+00}
69504,{2019-11-17 07:07:45.048+00 .. 2019-11-17 07:09:29.631+00}
69632,{2019-11-17 07:08:59.543+00 .. 2019-11-17 07:10:45.746+00}
69760,{2019-11-17 07:10:04.516+00 .. 2019-11-17 07:11:38.187+00}
69888,{2019-11-17 07:11:22.587+00 .. 2019-11-17 21:18:46.764+00}
70016,{2019-11-17 21:18:46.693+00 .. 2019-11-18 06:27:08.992+00}
70144,{2019-11-18 06:26:36.286+00 .. 2019-11-18 06:28:35.381+00}
70272,{2019-11-18 06:28:00.65+00 .. 2019-11-18 06:29:53.033+00}
70400,{2019-11-18 06:29:36.822+00 .. 2019-11-18 06:30:58.546+00}
70528,{2019-11-18 06:30:36.607+00 .. 2019-11-18 06:31:55.592+00}
70656,{2019-11-18 06:31:23.313+00 .. 2019-11-18 06:33:07.356+00}
70784,{2019-11-18 06:32:49.365+00 .. 2019-11-18 06:34:09.045+00}
70912,{2019-11-18 06:33:46.729+00 .. 2019-11-18 06:35:13.446+00}
71040,{2019-11-18 06:34:54.096+00 .. 2019-11-18 06:36:10.234+00}
71168,{2019-11-18 06:35:54.262+00 .. 2019-11-18 06:37:18.236+00}
71296,{2019-11-18 06:37:03.375+00 .. 2019-11-18 06:38:23.812+00}
71424,{2019-11-18 06:38:01.886+00 .. 2019-11-18 06:39:38.113+00}
71552,{2019-11-18 06:39:13.08+00 .. 2019-11-18 13:12:21.986+00}
71680,{2019-11-18 13:12:21.991+00 .. 2019-11-18 21:55:57.75+00}
71808,{2019-11-18 21:55:52.638+00 .. 2019-11-19 06:28:04.836+00}
71936,{2019-11-19 06:27:52.222+00 .. 2019-11-19 06:30:13.672+00}
72064,{2019-11-19 06:29:25.875+00 .. 2019-11-19 06:31:16.081+00}
72192,{2019-11-19 06:30:39.74+00 .. 2019-11-19 06:32:12.894+00}
72320,{2019-11-19 06:31:44.62+00 .. 2019-11-19 06:33:06.678+00}
72448,{2019-11-19 06:32:51.067+00 .. 2019-11-19 06:34:06.145+00}
72576,{2019-11-19 06:33:46.875+00 .. 2019-11-19 06:35:05.65+00}
72704,{2019-11-19 06:34:50.137+00 .. 2019-11-19 06:36:08.973+00}
72832,{2019-11-19 06:35:51.164+00 .. 2019-11-19 06:37:09.325+00}
72960,{2019-11-19 06:36:54.139+00 .. 2019-11-19 06:38:38.407+00}
73088,{2019-11-19 06:37:58.733+00 .. 2019-11-19 06:39:34.714+00}
73216,{2019-11-19 06:39:07.873+00 .. 2019-11-19 06:40:36.107+00}
73344,{2019-11-19 06:40:29.027+00 .. 2019-11-19 15:01:50.946+00}
73472,{2019-11-19 14:51:38.988+00 .. 2019-11-20 15:22:42.791+00}
73600,{2019-11-20 00:10:21.539+00 .. 2019-11-20 22:59:05.156+00}
73728,{2019-11-20 19:23:27.157+00 .. 2019-11-21 06:16:11.254+00}
73856,{2019-11-21 01:30:37.683+00 .. 2019-11-21 06:22:30.678+00}
73984,{2019-11-21 06:21:52.469+00 .. 2019-11-21 06:23:47.409+00}
74112,{2019-11-21 06:23:21.622+00 .. 2019-11-21 06:24:38.098+00}
74240,{2019-11-21 06:24:08.256+00 .. 2019-11-21 06:25:42.367+00}
74368,{2019-11-21 06:25:23.413+00 .. 2019-11-21 06:26:44.831+00}
74496,{2019-11-21 06:26:28.612+00 .. 2019-11-21 06:27:46.563+00}
74624,{2019-11-21 06:27:32.546+00 .. 2019-11-21 06:28:55.224+00}
74752,{2019-11-21 06:28:35.296+00 .. 2019-11-21 06:29:52.024+00}
74880,{2019-11-21 06:29:34.278+00 .. 2019-11-21 06:31:08.355+00}
75008,{2019-11-21 06:30:49.897+00 .. 2019-11-21 06:32:17.135+00}
75136,{2019-11-21 06:31:59.716+00 .. 2019-11-21 06:33:28.457+00}
75264,{2019-11-21 06:33:11.867+00 .. 2019-11-21 06:35:23.046+00}
75392,{2019-11-21 06:35:13.475+00 .. 2019-11-22 06:43:37.12+00}
75520,{2019-11-22 06:42:40.684+00 .. 2019-11-22 06:45:14.458+00}
75648,{2019-11-22 06:44:50.502+00 .. 2019-11-22 06:46:15.051+00}
75776,{2019-11-22 06:45:59.801+00 .. 2019-11-22 06:47:17.129+00}
75904,{2019-11-22 06:46:55.026+00 .. 2019-11-22 06:48:29.552+00}
76032,{2019-11-22 06:48:15.355+00 .. 2019-11-22 06:49:21.197+00}
76160,{2019-11-22 06:49:04.522+00 .. 2019-11-22 06:50:30.572+00}
76288,{2019-11-22 06:50:14.478+00 .. 2019-11-22 06:51:30.236+00}
76416,{2019-11-22 06:51:11.622+00 .. 2019-11-22 06:52:32.404+00}
76544,{2019-11-22 06:52:12.91+00 .. 2019-11-22 06:53:51.588+00}
76672,{2019-11-22 06:53:29.347+00 .. 2019-11-22 06:54:49.823+00}
76800,{2019-11-22 06:54:25.616+00 .. 2019-11-22 06:56:36.482+00}
76928,{2019-11-22 06:56:18.856+00 .. 2019-11-22 07:29:22.585+00}
77056,{2019-11-22 07:28:55.779+00 .. 2019-11-22 07:32:45.06+00}
77184,{2019-11-22 07:30:01.668+00 .. 2019-11-22 07:33:09.384+00}
77312,{2019-11-22 07:31:17.279+00 .. 2019-11-22 07:33:09.625+00}
77440,{2019-11-22 07:32:29.333+00 .. 2019-11-23 01:11:12.671+00}
77568,{2019-11-22 09:03:33.324+00 .. 2019-11-26 06:02:11.575+00}
77696,{2019-11-26 06:02:08.551+00 .. 2019-11-26 06:06:19.517+00}
77824,{2019-11-26 06:05:26.294+00 .. 2019-11-26 06:08:06.897+00}
77952,{2019-11-26 06:07:04.5+00 .. 2019-11-26 06:08:57.675+00}
78080,{2019-11-26 06:08:35.892+00 .. 2019-11-26 06:10:19.734+00}
78208,{2019-11-26 06:10:04.788+00 .. 2019-11-26 06:12:17.452+00}
78336,{2019-11-26 06:11:09.268+00 .. 2019-11-26 06:12:28.773+00}
78464,{2019-11-26 06:12:12.771+00 .. 2019-11-26 06:13:37.837+00}
78592,{2019-11-26 06:13:15.956+00 .. 2019-11-26 06:14:47.764+00}
78720,{2019-11-26 06:14:29.154+00 .. 2019-11-26 06:15:44.524+00}
78848,{2019-11-26 06:15:27.221+00 .. 2019-11-26 06:16:49.62+00}
78976,{2019-11-26 06:16:30.798+00 .. 2019-11-26 06:18:01.455+00}
79104,{2019-11-26 06:17:19.968+00 .. 2019-11-26 15:44:06.271+00}
79232,{2019-11-26 09:34:11.054+00 .. 2019-11-26 21:49:55.804+00}
79360,{2019-11-26 17:33:43.057+00 .. 2019-11-26 22:59:01.344+00}
79488,{2019-11-26 22:38:26.764+00 .. 2019-11-27 06:25:01.933+00}
79616,{2019-11-27 06:24:24.398+00 .. 2019-11-27 06:30:30.357+00}
79744,{2019-11-27 06:27:26.441+00 .. 2019-11-27 06:31:05.295+00}
79872,{2019-11-27 06:28:27.801+00 .. 2019-11-27 06:31:10.354+00}
80000,{2019-11-27 06:29:31.07+00 .. 2019-11-27 06:31:15.93+00}
80128,{2019-11-27 06:30:30.417+00 .. 2019-11-27 06:33:40.705+00}
80256,{2019-11-27 06:33:11.399+00 .. 2019-11-27 06:34:45.874+00}
80384,{2019-11-27 06:34:29.199+00 .. 2019-11-27 06:36:20.901+00}
80512,{2019-11-27 06:35:48.4+00 .. 2019-11-27 06:40:23.201+00}
80640,{2019-11-27 06:40:20.994+00 .. 2019-11-27 07:01:48.938+00}
80768,{2019-11-27 07:00:58.639+00 .. 2019-11-27 07:03:14.446+00}
80896,{2019-11-27 07:02:11.458+00 .. 2019-11-27 07:03:46.094+00}
81024,{2019-11-27 07:03:18.143+00 .. 2019-11-27 07:04:35.331+00}
81152,{2019-11-27 07:04:12.129+00 .. 2019-11-27 11:05:04.809+00}
81280,{2019-11-27 11:05:04.824+00 .. 2019-11-27 22:59:02.364+00}
81408,{2019-11-27 20:18:36.589+00 .. 2019-11-28 06:17:28.625+00}
81536,{2019-11-28 06:17:24.808+00 .. 2019-11-28 06:22:36.024+00}
81664,{2019-11-28 06:21:57.426+00 .. 2019-11-28 06:23:35.789+00}
